"user","text_length","contains_question_mark","contains_exclamation_mark","contains_multiple_question_marks","contains_multiple_exclamation_marks","contains_multiple_dots","contains_happy_emotes","num_of_happy_emotes","contains_sad_emotes","num_of_sad_emotes","fraction_uppercase","Positive_Score","Negative_Score","distribution_excellent","distribution_very_good","distribution_avergae","distribution_poor","distribution_terrible","gender"
"0_yevgeniya_0","586.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.5597269624573378","0.998807430267334","0.0","12.0","3.0","3.0","0.0","0.0","woman"
"125bernardc","1079.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0194624652455977","0.0","0.9958285689353944","48.0","47.0","29.0","7.0","0.0","man"
"129sylviac","624.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.6025641025641024","0.0","0.999485731124878","18.0","13.0","3.0","2.0","0.0","woman"
"130gabbyh","643.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5552099533437014","0.9989251494407654","0.0","15.0","5.0","1.0","0.0","0.0","woman"
"137mariust","803.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.86799501867995","0.9989234805107116","0.0","4.0","0.0","0.0","0.0","0.0","man"
"143charlesb","205.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.975609756097561","0.9988877177238464","0.0","11.0","0.0","0.0","0.0","0.0","man"
"165tatjanam","287.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4390243902439024","0.0","0.9989473223686218","3.0","0.0","1.0","0.0","0.0","man"
"171richd","263.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6615969581749046","0.998884618282318","0.0","58.0","15.0","3.0","1.0","1.0","man"
"179anitad","1185.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.953586497890296","0.9989308714866638","0.0","18.0","12.0","3.0","0.0","0.0","woman"
"1971JohnM","1249.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1617293835068057","0.0","0.999508261680603","9.0","7.0","0.0","2.0","5.0","man"
