"user","age","gender","location","distribution_excellent","distribution_very_good","distribution_avergae","distribution_poor","distribution_terrible"
"tehgr3g","","","","6.0","1.0","0.0","0.0","0.0"
"gopalakrishnank769","25-34","man","Bournemouth, United Kingdom","6.0","15.0","4.0","0.0","1.0"
"TasosAnth","","man","Athens, Greece","142.0","180.0","101.0","46.0","45.0"
"ADtrip27","","","Versailles, France","7.0","1.0","1.0","0.0","0.0"
"Alex J","","man","Melbourne, Australia","218.0","120.0","47.0","5.0","1.0"
"ITravelGreece","35-49","man","Athens","7.0","0.0","0.0","0.0","0.0"
"emma68","25-34","woman","manchester","15.0","9.0","9.0","4.0","5.0"
"nurit442","","woman","Tel Aviv, Israel","3.0","0.0","0.0","0.0","3.0"
"AmrishNewDelhi","","man","New Delhi, India","43.0","39.0","27.0","13.0","4.0"
"Gil B","","","Israel","20.0","21.0","10.0","2.0","0.0"
"DimiGR","","","Athens, Greece","13.0","2.0","1.0","0.0","0.0"
"Elma_Tsarajevo16","","","Sarajevo, Bosnia and Herzegovina","22.0","5.0","0.0","0.0","2.0"
"Pioneer765507","","","","","","","",""
"X2513MRstephenb","","","Essex, United Kingdom","23.0","95.0","51.0","15.0","10.0"
"sunnysab","","","Sydney, Australia","104.0","119.0","53.0","8.0","2.0"
"tony_greek","50-64","man","Larnaca, Cyprus","227.0","29.0","9.0","2.0","0.0"
"mariagZ1086JM","","","Dunwoody, Georgia","698.0","302.0","97.0","31.0","23.0"
"Nesta J","50-64","woman","Sámi, Kefallinia, Greece","16.0","4.0","0.0","1.0","0.0"
"george B","","","Perth, Australia","5.0","2.0","3.0","0.0","1.0"
"nico k","50-64","man","Larnaca, Cyprus","42.0","12.0","1.0","0.0","0.0"
"christine a","","","","","","","",""
"fere0010","","man","Gothenburg, Sweden","19.0","46.0","26.0","6.0","3.0"
"kellakiplt","","","Bergen, Norway","7.0","5.0","4.0","3.0","0.0"
"hadjidemetrious","","","Nicosia, Cyprus","27.0","54.0","47.0","18.0","12.0"
"gonen100","","","נאפולי","19.0","7.0","3.0","0.0","1.0"
"Warner v","","","Terheijden, The Netherlands","8.0","5.0","2.0","1.0","0.0"
"aglikaa2014","","","","6.0","0.0","0.0","0.0","0.0"
"Peter R","","","","6.0","7.0","3.0","0.0","0.0"
"Cristina M","50-64","woman","Timisoara","46.0","13.0","0.0","0.0","0.0"
"zafeiriak","","","","53.0","20.0","4.0","4.0","0.0"
"Aledop","","","","25.0","8.0","2.0","2.0","0.0"
"thanasisnavro","35-49","man","Europe","12.0","11.0","5.0","1.0","1.0"
